Display [ms],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lcd [ms],105,94,93,104,95,103,95,97,99,102,114,102,109,110,100,112,106,106,103,105,94,108,111,103,114,95,98,96,113,97,103,96,113,95,104,97,104,95,108,103,105,101,101,92,102,93,97,96,110,94,104,97,96,96,96,107,100,103,101,112,106,100,107,99,111,97,112,98,111,97,96,98,117,98,111,102,195,95,104,95,103,92,100,94,103,92,104,93,100,93,101,92,102,93,103,92,93,106,97,109
Mesher [ms],1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
PGO Update/Optimization Timing [ms],1,34
VioBackend [ms],12,12,11,13,9,10,11,14,15,9,12,10,15,10,14,11,10,12,12,10,10,9,10,12,12,12,9,9,12,10,10,14,16,10,11,10,13,9,10,11,12,14,10,11,11,14,11,13,9,11,11,11,10,10,9,10,12,9,9,10,12,12,11,14,9,10,10,11,10,13,18,13,13,10,14,11,11,17,11,12,15,12,12,12,12,11,11,11,10,11,9,10,9,13,14,9,12,12,11,12
VioFrontend Frame Rate [ms],1,3,2,5,2,1,7,2,3,1,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,3,2,1,1,4,1,1,1,6,1,2,3,1,3,1,1,1,2,1,2,1,6,4,2,3,2,1,1,5,7,4,6,4,5,6,6,6,5,7,4,5,7,9,6,5,6,5,7,6,6,7,5,6,6,6,5,8,1,1,7,2,1,5,1,1,5,1,2,7,3,1
VioFrontend Keyframe Rate [ms],76,59,79,53,67,65,63,55,69,63,55,73,69,58,74,64,62,73,66,77,71,58,55,90,54,68,57,83,58,68,64,79,54,66,64,78,55,66,78,74,86,77,60,69,56,66,61,73,52,73,63,60,61,62,74,55,58,51,69,67,54,101,55,69,58,68,57,68,62,83,56,62,62,72,69,96,54,68,55,71,52,86,52,67,53,68,78,67,64,69,57,73,56,61,55,52,74,62,69,74
VioFrontend [ms],101,1,55,2,69,3,58,1,68,3,57,1,68,1,62,1,83,2,56,1,62,2,62,1,6,72,4,69,2,3,96,2,1,1,5,8,4,6,4,5,6,6,6,5,7,4,5,7,9,7,5,6,5,7,6,6,7,6,6,6,6,5,8,56,1,66,1,61,1,73,3,52,1,73,1,63,1,60,1,61,1,62,1,5,74,3,55,2,58,1,51,1,69,4,1,67,1,54,1,6
Visualizer [ms],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backend_input_queue Size [#],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
data_provider_left_frame_queue Size [#],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
data_provider_right_frame_queue Size [#],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
display_input_queue Size [#],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
frontend_input_queue Size [#],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lcd_backend_queue Size [#],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lcd_frontend_queue Size [#],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
