#cur_kf_id,numAddedSmartF,numAddedImuF,numAddedNoMotionF,numAddedConstantF,numAddedBetweenStereoF,state_size,landmark_count
0,0,0,0,0,0,3,0
1,0,1,1,0,0,6,308
2,0,1,1,0,0,9,483
3,0,1,1,0,0,12,623
4,0,1,1,0,0,15,763
5,294,1,0,0,0,18,833
6,311,1,0,0,0,21,903
7,298,1,0,0,0,24,903
8,316,1,0,0,0,27,938
9,298,1,0,0,0,30,938
10,307,1,0,0,0,33,1008
11,304,1,0,0,0,36,1043
12,296,1,0,0,0,39,1078
13,304,1,0,0,0,42,1113
14,284,1,0,0,0,45,1148
15,303,1,0,0,0,48,1218
16,285,1,0,0,0,51,1253
17,309,1,0,0,0,54,1288
18,285,1,0,0,0,57,1288
19,304,1,0,0,0,60,1358
20,299,1,0,0,0,63,1428
21,300,1,0,0,0,66,1498
22,316,1,0,0,0,69,1568
23,311,1,0,0,0,72,1603
24,310,1,0,0,0,75,1638
25,307,1,0,0,0,78,1673
26,284,1,0,0,0,78,1673
27,296,1,0,0,0,78,1708
28,299,1,0,0,0,78,1743
29,287,1,0,0,0,78,1778
30,306,1,0,0,0,78,1848
31,313,1,0,0,0,78,1918
32,308,1,0,0,0,78,1988
33,311,1,0,0,0,78,2058
34,290,1,0,0,0,78,2093
35,313,1,0,0,0,78,2163
36,293,1,0,0,0,78,2198
37,306,1,0,0,0,78,2268
38,304,1,0,0,0,78,2303
39,299,1,0,0,0,78,2338
40,293,1,0,0,0,78,2373
41,297,1,0,0,0,78,2443
42,307,1,0,0,0,78,2513
43,293,1,0,0,0,78,2548
44,309,1,0,0,0,78,2583
45,309,1,0,0,0,78,2618
46,309,1,0,0,0,78,2653
47,302,1,0,0,0,78,2688
48,299,1,0,0,0,78,2723
49,297,1,0,0,0,78,2758
50,290,1,0,0,0,78,2793
51,284,1,0,0,0,78,2828
52,304,1,0,0,0,78,2898
53,304,1,0,0,0,78,2968
54,316,1,0,0,0,78,3038
55,313,1,0,0,0,78,3073
56,310,1,0,0,0,78,3108
57,308,1,0,0,0,78,3143
58,286,1,0,0,0,78,3178
59,287,1,0,0,0,78,3248
60,289,1,0,0,0,78,3283
61,307,1,0,0,0,78,3353
62,308,1,0,0,0,78,3388
63,308,1,0,0,0,78,3458
64,300,1,0,0,0,78,3493
65,291,1,0,0,0,78,3528
66,307,1,0,0,0,78,3563
67,288,1,0,0,0,78,3598
68,317,1,0,0,0,78,3668
69,285,1,0,0,0,78,3703
70,316,1,0,0,0,78,3773
71,291,1,0,0,0,78,3808
72,297,1,0,0,0,78,3843
73,291,1,0,0,0,78,3878
74,298,1,0,0,0,78,3913
75,297,1,0,0,0,78,3948
76,299,1,0,0,0,78,3983
77,294,1,0,0,0,78,4018
78,307,1,0,0,0,78,4053
79,293,1,0,0,0,78,4088
80,305,1,0,0,0,78,4123
81,305,1,0,0,0,78,4158
82,315,1,0,0,0,78,4193
83,313,1,0,0,0,78,4228
84,307,1,0,0,0,78,4263
85,287,1,0,0,0,78,4298
86,291,1,0,0,0,78,4333
87,294,1,0,0,0,78,4368
88,293,1,0,0,0,78,4403
89,314,1,0,0,0,78,4473
90,302,1,0,0,0,78,4508
91,309,1,0,0,0,78,4543
92,284,1,0,0,0,78,4543
93,311,1,0,0,0,78,4578
94,302,1,0,0,0,78,4613
95,290,1,0,0,0,78,4613
96,293,1,0,0,0,78,4648
97,312,1,0,0,0,78,4683
98,305,1,0,0,0,78,4718
99,313,1,0,0,0,78,4753
100,306,1,0,0,0,78,4788
101,292,1,0,0,0,78,4823
102,293,1,0,0,0,78,4858
103,283,1,0,0,0,78,4928
104,316,1,0,0,0,78,5033
105,311,1,0,0,0,78,5068
106,310,1,0,0,0,78,5138
107,296,1,0,0,0,78,5208
108,293,1,0,0,0,78,5278
109,287,1,0,0,0,78,5313
110,301,1,0,0,0,78,5383
111,308,1,0,0,0,78,5453
112,295,1,0,0,0,78,5453
113,297,1,0,0,0,78,5488
114,307,1,0,0,0,78,5523
115,286,1,0,0,0,78,5558
116,297,1,0,0,0,78,5593
117,287,1,0,0,0,78,5628
118,301,1,0,0,0,78,5663
119,297,1,0,0,0,78,5733
120,317,1,0,0,0,78,5803
121,297,1,0,0,0,78,5838
122,307,1,0,0,0,78,5873
123,305,1,0,0,0,78,5908
124,309,1,0,0,0,78,5943
125,312,1,0,0,0,78,5978
126,292,1,0,0,0,78,5978
127,289,1,0,0,0,78,6013
128,301,1,0,0,0,78,6048
129,315,1,0,0,0,78,6118
130,312,1,0,0,0,78,6153
131,289,1,0,0,0,78,6188
132,289,1,0,0,0,78,6223
133,310,1,0,0,0,78,6293
134,306,1,0,0,0,78,6328
135,308,1,0,0,0,78,6363
136,316,1,0,0,0,78,6398
137,302,1,0,0,0,78,6433
138,309,1,0,0,0,78,6468
139,296,1,0,0,0,78,6503
140,305,1,0,0,0,78,6538
141,303,1,0,0,0,78,6573
142,300,1,0,0,0,78,6608
143,304,1,0,0,0,78,6643
144,298,1,0,0,0,78,6678
145,315,1,0,0,0,78,6783
146,305,1,0,0,0,78,6818
