#timestamp_lkf,mono_status,stereo_status,nr_keypoints,nrDetectedFeatures,nrTrackerFeatures,nrMonoInliers,nrMonoPutatives,nrStereoInliers,nrStereoPutatives,monoRansacIters,stereoRansacIters,nrValidRKP,nrNoLeftRectRKP,nrNoRightRectRKP,nrNoDepthRKP,nrFailedArunRKP,featureDetectionTime,featureTrackingTime,monoRansacTime,stereoRansacTime,featureSelectionTime,extracted_corners,need_n_corners
1666059836751101017,LOW_DISPARITY,VALID,308,0,292,133,292,60,70,0,1,302,25,7,133,0,0,6,2,0,0,0,0
1666059837050643444,LOW_DISPARITY,VALID,302,0,308,127,308,47,66,0,1,300,25,3,155,0,0,5,1,0,0,0,0
1666059837450401068,LOW_DISPARITY,VALID,305,0,302,165,302,68,82,0,1,268,22,4,148,0,0,5,0,0,0,0,0
1666059838450278044,LOW_DISPARITY,VALID,299,0,305,159,305,58,70,0,1,256,21,7,161,0,0,5,1,0,0,0,0
1666059839850277901,VALID,VALID,294,0,299,224,299,93,96,0,1,204,20,4,141,0,0,4,0,0,0,0,0
1666059840050277948,VALID,VALID,311,0,294,241,294,127,131,0,1,189,18,6,151,0,0,1,0,0,0,0,0
1666059840250277996,VALID,VALID,298,0,309,298,309,163,169,0,1,174,15,2,118,0,0,2,0,0,0,0,0
1666059840450278044,VALID,VALID,316,0,290,281,290,136,156,0,1,182,22,4,117,0,0,1,0,0,0,0,0
1666059840650278091,VALID,VALID,298,0,303,298,303,139,163,0,1,169,24,3,107,0,0,4,0,0,0,0,0
1666059840950278044,VALID,VALID,307,0,253,237,253,101,119,0,1,168,29,9,117,0,0,5,0,0,0,0,0
1666059841150278091,VALID,VALID,304,0,280,269,280,122,141,0,1,173,17,3,122,0,0,4,0,0,0,0,0
1666059841450278044,VALID,VALID,296,0,273,261,273,102,120,0,1,147,22,9,130,0,0,5,0,0,0,0,0
1666059841650278091,VALID,VALID,304,0,275,269,275,104,130,0,1,161,20,2,127,0,0,1,0,0,0,0,0
1666059841950246096,VALID,VALID,284,0,270,249,270,86,110,0,1,149,15,3,138,0,0,4,0,0,0,0,0
1666059842250228405,VALID,VALID,303,0,262,233,262,79,98,0,1,157,18,3,154,0,0,4,0,0,0,0,0
1666059842550227404,VALID,VALID,285,0,266,250,266,71,98,0,1,144,14,1,142,0,0,5,0,0,0,0,0
1666059842750236511,VALID,VALID,309,0,277,274,277,87,119,0,1,156,12,5,139,0,0,1,0,0,0,0,0
1666059842950248480,VALID,VALID,285,0,297,285,297,95,128,0,1,152,16,1,128,0,0,1,0,0,0,0,0
1666059843150262594,VALID,VALID,304,0,264,234,264,72,96,0,1,164,23,2,145,0,0,4,0,0,0,0,0
1666059843350281477,VALID,VALID,299,0,273,229,273,73,99,0,1,176,32,5,130,0,0,2,0,0,0,0,0
1666059843550306559,VALID,VALID,300,0,259,230,259,83,104,0,1,163,19,4,143,0,0,4,0,0,0,0,0
1666059843750323057,VALID,VALID,316,0,274,246,274,93,117,0,1,175,12,8,149,0,0,2,0,0,0,0,0
1666059843950323105,VALID,VALID,311,0,292,276,292,113,137,0,1,173,17,5,132,0,0,3,0,0,0,0,0
1666059844150323153,VALID,VALID,310,0,286,275,286,110,150,0,1,185,9,1,126,0,0,4,0,0,0,0,0
1666059844450323105,VALID,VALID,307,0,291,272,291,95,133,0,1,171,5,4,146,0,0,3,0,0,0,0,0
1666059844650323153,VALID,VALID,284,0,294,284,294,106,142,0,1,149,12,4,129,0,0,1,0,0,0,0,0
1666059844950323105,VALID,VALID,296,0,270,261,270,90,117,0,1,154,12,3,136,0,0,4,0,0,0,0,0
1666059845150323153,VALID,VALID,299,0,276,264,276,93,123,0,1,157,13,2,139,0,0,4,0,0,0,0,0
1666059845450323105,VALID,VALID,287,0,265,252,265,73,105,0,1,140,16,4,140,0,0,5,0,0,0,0,0
1666059845650323153,VALID,VALID,306,0,261,236,261,69,94,0,1,170,25,1,135,0,0,3,0,0,0,0,0
1666059845950323105,VALID,VALID,313,0,271,243,271,79,114,0,1,188,22,5,126,0,0,4,0,0,0,0,0
1666059846150323153,VALID,VALID,308,0,287,238,287,67,101,0,1,187,21,4,145,0,0,1,0,0,0,0,0
